source_path,serviceName,seq,title,startDate,endDate,place,realmName,area,sigungu,thumbnail,gpsX,gpsY
period2,공연,379057,"제5회 보편적이지만은 않은 극적무대, MACBETH: A REQUIEM",20260521,20260531,극장 봄 (봄소극장) 극장 봄,연극,서울,성북구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050721172365783.png,127.00735942616062,37.58754652016606
period2,공연,377740,인사이드 더 플레이: 군체,20260521,20260831,롯데시네마 [신대방]  신대방관,연극,서울,동작구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042721173091259.png,126.905002,37.486533
period2,공연,375019,명작시리즈 II 카르미나 부라나,20260521,20260521,세종문화회관 세종대극장,음악/콘서트,서울,종로구,http://www.culture.go.kr/upload/ucms/myRlyPerfInfo/2026/202604/29e8530a47cc4e9fb2dca6d3eb668d4a.jpg,126.97584322994113,37.57271617146049
period2,공연,379238,"춘천 실내악 페스티벌, 아투스뮤직: 우리가곡 이야기 3 (05.21)",20260521,20260521,예나아트홀,음악/콘서트,강원,춘천시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050921174133468.jpg,127.7688882,37.8992773
period2,공연,380529,"대전시립교향악단 디스커버리 시리즈 4, 영유아를 위한 걸음마 콘서트",20260521,20260522,대전예술의전당,음악/콘서트,대전,서구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051921201625275.jpg,127.38391077777077,36.36653770350843
period2,전시,381061,2026 제주갤러리 기획전 Ⅰ 《당신이 다른 계획을 세우느라 바쁜 동안에도 제주의 바람은 흐른다》,20260521,20260608,인사아트센터,전시,서울,종로구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/9bebead787254bb7a675bc2a518cb471.jpg,126.98460180735796,37.57384613490149
period2,공연,380313,"[인천] 사랑방 금요일 상상극장, 류엘의 매직콘서트",20260522,20260522,부평문화사랑방,기타,인천,부평구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051821172180309.gif,126.72573269053564,37.51076734267283
period2,공연,377107,[아산] 책읽는 마법사,20260522,20260523,아산 코미디홀 도고아트홀(구.아산 코미디홀),기타,충남,아산시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042221185293904.png,126.8678224,36.7588591
period2,공연,378447,십장생: 의례 퍼포먼스,20260522,20260524,모두예술극장,기타,서울,서대문구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026050421171118197.png,126.96227697086789,37.56010768309025
period2,공연,379822,"[태백] 1457, 소년 잠들다",20260522,20260522,태백문화예술회관 대공연장,뮤지컬/오페라,강원,태백시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051321171934457.gif,128.987958198144,37.17189616685428
period2,공연,379396,[제주] THE WALL,20260522,20260523,BeIN(비인),뮤지컬/오페라,제주,제주시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051121171425345.jpg,126.53473576274975,33.50547835232586
period2,공연,377175,[보성] 슈퍼거북 슈퍼토끼,20260522,20260523,보성군문화예술회관,뮤지컬/오페라,전남,보성군,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042221183245940.jpg,127.08839356630287,34.77821556659357
period2,공연,377764,[공주] 더킹: 무령,20260522,20260628,백제문화전당  고마홀,뮤지컬/오페라,충남,공주시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042721171004132.gif,127.106077,36.4641
period2,교육/체험,378724,2026년 시민과 함께하는 명사 특강 펀자이씨(엄유진)편,20260522,20260522,,교육/체험,경남,,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/8fe9fdef82ef4abe81bc9d9afb707b37.png,,
period2,행사/축제,379746,2026 괴산 빨간맛 페스티벌,20260522,20260524,괴산유기농엑스포광장 및 동진천변 일대,행사/축제,충북,괴산군,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/fd32246b1eaf4971b8b33d825ca64408.png,,
period2,행사/축제,380575,2026 빵 터지는 강릉 빵 페스타,20260522,20260525,강릉 대도호부관아 일원,행사/축제,강원,강릉시,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/223e63b0f1dc4eeba223499acbc0f877.jpg,,
period2,행사/축제,377813,천배만배 제16회 화성 뱃놀이 축제,20260522,20260525,"서신면 전곡항, 궁평리, 백미리 일원",행사/축제,경기,화성시 만세구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202604/ce42da5d3c7f43d9b6e86f5d2c7f4939.jpg,,
period2,행사/축제,379920,제16회 곡성세계장미축제,20260522,20260531,곡성 섬진강기차마을,행사/축제,전남,곡성군,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/a2d98e9a7fd34525ada7ab25a71ac3fd.jpg,,
period2,공연,377575,[강릉] 강릉시립합창단 특별기획연주: 그물에 걸리지 않는 바람처럼,20260522,20260523,강릉아트센터,음악/콘서트,강원,강릉시,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042421172323986.jpg,128.89539740770556,37.7716434754304
period2,공연,377140,"듣는 애도, 살롱 음악회: 피아노 앞의 죽음",20260522,20260523,딜리스 [서울 성북] 1F,음악/콘서트,서울,성북구,http://www.culture.go.kr/upload/rdf/26/04/rdf_2026042221171255559.jpg,127.017274,37.589191
period2,공연,379493,"MU&amp;A 스튜디오 기획 시리즈, 귀로 읽는 밤",20260522,20260731,뮤직앤아트스튜디오,음악/콘서트,서울,동작구,http://www.culture.go.kr/upload/rdf/26/05/rdf_202605122117637868.png,126.98028127854795,37.48437377497202
period2,전시,376709,仲夏: 여름의 한가운데,20260522,20260524,상명아트홀,전시,서울,종로구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202604/0d930f036a214533848dc06e23127064.jpg,127.00285020185453,37.58333682512494
period2,전시,380780,《저마다의 하늘》 展,20260522,20260616,슈페리어갤러리,전시,서울,강남구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/e7b9a4c77c4e41d88b67121b0d6b9235.jpg,127.062000046367,37.5080952698916
period2,전시,380559,"Nature in, Nature out",20260522,20260620,표갤러리,전시,서울,종로구,http://www.culture.go.kr/upload/rdf/26/05/show_2026051921281819510.jpg,126.970829642595,37.5778944965139
period2,전시,380748,"아르코미술관 창작주체 연계 기획전 《어긋난 파동, 흔들리는 시간: 오민, 카밀 노먼트》",20260522,20260719,아르코미술관,전시,서울,종로구,http://www.culture.go.kr/upload/ucms/oneCltInfo/2026/202605/d51bfd33ab234e848931bb53692b8d0b.gif,127.00325199238465,37.58046940261688
period2,공연,380681,[성남] 제27회 한국미래춤협회 페스티벌: 춤의 세계로,20260522,20260522,성남아트리움,무용/발레,경기,성남시,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026052021172742743.gif,127.13905478253406,37.44498248842757
period2,공연,379775,제93회 부산시립무용단 정기공연: 바라는 바다,20260522,20260523,부산시민회관 대극장,무용/발레,부산,동구,http://www.culture.go.kr/upload/rdf/26/05/rdf_2026051321204528070.jpg,129.06521975849566,35.1388399670171
